vehicle_density,avg_vehicle_speed,speed_std,lane_occupancy,queue_length,edge_density,optical_flow_mag,shadow_fraction,time_of_day_norm,road_width_norm,label
23.86508292,56.66000435,5.737365658,0.4488213705,13.58320089,0.4128639556,0.3956734127,0.1274397801,0.3347631735,0.9902401784,1
15.75562366,67.56255373,3.761696356,0.2037593566,9.119580518,0.3432213143,0.87723417,0.1973817493,0.6888508851,0.6633923377,0
14.71964109,60.78299279,3.55832446,0.2594848263,6.966499082,0.3362088266,0.4550824918,0.1962710456,0.279968191,0.9054703427,0
14.71981447,72.43195957,0.5606804302,0.2101459028,4.188474006,0.2773648079,0.7303977724,0.09056119138,0.6431833398,0.891052228,0
43.37285393,33.12592526,12.07189356,0.6857669145,9.363837492,0.6435742794,0.2102519353,0.1407363762,0.9572458683,0.944822987,1
28.03193131,49.59300708,5.676210718,0.5044283354,7.256908936,0.4831137771,0.4328319947,0.06844853449,0.7289519792,0.992607013,0
12.37187364,64.23047693,2.708430772,0.2001755442,7.252624513,0.2809095137,0.590444332,0.2688840645,0.4183995596,0.6974180185,0
24.53948727,53.09959879,2.202963625,0.3397147446,9.443745108,0.5028220235,0.3745731652,0.1761828277,0.7475593212,0.5173777892,1
20.34157737,57.89611978,5.119794941,0.3439277686,11.02502114,0.3645840157,0.6764837315,0.1845971573,0.8092418168,0.6765372141,1
3.155037973,71.88250127,1.210589396,0.0167755404,1.21790038,0.3739190724,0.7532856531,0.1743153174,0.325840467,0.9123309262,0
7.932953326,64.28112374,1.592442855,0.05999937709,3.683484684,0.2995018478,0.608647459,0.06521509258,0.7051322157,0.9016639806,0
21.30339337,46.46067227,7.293396143,0.305289077,4.466390863,0.4119402769,0.4186187831,0.2006254533,0.4343961961,0.6015819446,1
40.95443556,23.39177243,12.15212549,0.7848685908,12.28411819,0.7064914622,0.3209971606,0.2928127789,0.8185224818,0.4283840842,1
14.8082801,60.72524088,6.822669635,0.307423891,5.545815099,0.2339310199,0.614451324,0.02551203385,0.2953775952,0.7059052587,0
11.68065486,63.16173498,2.421897218,0.09395070141,5.282604414,0.3024954562,0.798471026,0.1564235383,0.93775967,0.6844605574,0
18.67260729,52.62700128,7.458436641,0.3017918292,5.015620573,0.3650487143,0.4904601355,0.2107688713,0.5747869373,0.4514583867,0
